,name,date,marketcap,volume,average price
208,azuki,"Apr 05, 2022(UTC)","$312,098,375.73","$3,734,478.65",30.59818684 ETH
209,azuki,"Apr 06, 2022(UTC)","$313,183,263.72","$2,067,423.04",36.50634988 ETH
210,rtfkt-clone-x-+-murakami,"Mar 08, 2022(UTC)","$307,839,638.25","$1,717,506.57",14.04372968 ETH
211,rtfkt-clone-x-+-murakami,"Mar 09, 2022(UTC)","$308,825,952.62","$1,630,835.63",20.01344331 ETH
212,rtfkt-clone-x-+-murakami,"Mar 10, 2022(UTC)","$309,046,390.63","$842,076.64",11.46419302 ETH
213,rtfkt-clone-x-+-murakami,"Mar 11, 2022(UTC)","$309,416,006.90","$1,090,383.32",12.80329944 ETH
214,rtfkt-clone-x-+-murakami,"Mar 12, 2022(UTC)","$310,012,369.07","$1,247,968.11",15.08501867 ETH
215,rtfkt-clone-x-+-murakami,"Mar 13, 2022(UTC)","$310,350,425.94","$862,101.75",12.88479967 ETH
216,rtfkt-clone-x-+-murakami,"Mar 14, 2022(UTC)","$311,142,612.82","$1,450,625.16",13.19019096 ETH
217,rtfkt-clone-x-+-murakami,"Mar 15, 2022(UTC)","$311,826,704.87","$1,362,204.35",14.35069478 ETH
218,rtfkt-clone-x-+-murakami,"Mar 16, 2022(UTC)","$312,508,644.63","$1,156,702.89",13.44394539 ETH
219,rtfkt-clone-x-+-murakami,"Mar 17, 2022(UTC)","$313,559,172.92","$2,753,927.23",14.96472944 ETH
220,rtfkt-clone-x-+-murakami,"Mar 18, 2022(UTC)","$315,348,559.41","$4,011,691.03",15.65810098 ETH
221,rtfkt-clone-x-+-murakami,"Mar 19, 2022(UTC)","$318,230,081.77","$5,609,647.65",16.98299235 ETH
222,rtfkt-clone-x-+-murakami,"Mar 20, 2022(UTC)","$319,758,047.66","$2,607,803.13",18.71597536 ETH
223,rtfkt-clone-x-+-murakami,"Mar 21, 2022(UTC)","$320,793,045.89","$1,509,720.64",18.69966032 ETH
224,rtfkt-clone-x-+-murakami,"Mar 22, 2022(UTC)","$321,701,976.42","$2,003,106.12",15.54472042 ETH
225,rtfkt-clone-x-+-murakami,"Mar 23, 2022(UTC)","$322,588,773.78","$1,929,407.97",16.69094089 ETH
226,rtfkt-clone-x-+-murakami,"Mar 24, 2022(UTC)","$323,487,037.46","$1,754,827.36",17.33890999 ETH
227,rtfkt-clone-x-+-murakami,"Mar 25, 2022(UTC)","$324,560,278.52","$2,125,571.54",18.83900317 ETH
228,rtfkt-clone-x-+-murakami,"Mar 26, 2022(UTC)","$325,623,453.03","$1,916,461.82",18.06315928 ETH
229,rtfkt-clone-x-+-murakami,"Mar 27, 2022(UTC)","$327,218,044.60","$2,491,459.17",18.25050307 ETH
230,rtfkt-clone-x-+-murakami,"Mar 28, 2022(UTC)","$327,758,274.80","$774,314.57",16.44968646 ETH
231,rtfkt-clone-x-+-murakami,"Mar 29, 2022(UTC)","$328,691,919.68","$1,765,641.02",16.73065759 ETH
232,rtfkt-clone-x-+-murakami,"Mar 30, 2022(UTC)","$329,283,806.37","$1,236,380.96",16.55937436 ETH
233,rtfkt-clone-x-+-murakami,"Mar 31, 2022(UTC)","$332,310,777.36","$4,434,793.90",26.23039737 ETH
234,rtfkt-clone-x-+-murakami,"Apr 01, 2022(UTC)","$334,125,439.82","$3,139,254.33",18.39910984 ETH
235,rtfkt-clone-x-+-murakami,"Apr 02, 2022(UTC)","$336,630,495.96","$4,514,595.55",17.07691286 ETH
236,rtfkt-clone-x-+-murakami,"Apr 03, 2022(UTC)","$355,996,566.27","$31,727,888.83",21.91044257 ETH
237,rtfkt-clone-x-+-murakami,"Apr 04, 2022(UTC)","$360,040,101.89","$6,954,488.49",24.97962357 ETH
238,rtfkt-clone-x-+-murakami,"Apr 05, 2022(UTC)","$361,313,580.64","$2,381,020.53",21.26870616 ETH
239,rtfkt-clone-x-+-murakami,"Apr 06, 2022(UTC)","$362,888,938.31","$2,908,788.28",27.12408852 ETH
240,the-sandbox-land,"Mar 08, 2022(UTC)","$212,938,776.53","$506,029.64",3.30109811 ETH
241,the-sandbox-land,"Mar 09, 2022(UTC)","$213,281,326.88","$424,383.22",3.07612194 ETH
242,the-sandbox-land,"Mar 10, 2022(UTC)","$213,600,752.79","$439,356.26",3.16520562 ETH
243,the-sandbox-land,"Mar 11, 2022(UTC)","$213,839,320.14","$325,407.17",2.99447931 ETH
244,the-sandbox-land,"Mar 12, 2022(UTC)","$214,138,471.61","$371,004.68",3.11958751 ETH
245,the-sandbox-land,"Mar 13, 2022(UTC)","$214,480,825.40","$520,866.05",3.208341 ETH
246,the-sandbox-land,"Mar 14, 2022(UTC)","$214,805,586.23","$450,058.75",3.19729096 ETH
247,the-sandbox-land,"Mar 15, 2022(UTC)","$215,074,174.11","$335,594.84",2.96925816 ETH
248,the-sandbox-land,"Mar 16, 2022(UTC)","$215,441,421.26","$503,506.42",3.28257694 ETH
249,the-sandbox-land,"Mar 17, 2022(UTC)","$215,793,509.25","$462,791.72",3.08221103 ETH
250,the-sandbox-land,"Mar 18, 2022(UTC)","$216,124,151.30","$440,155.38",3.28781783 ETH
251,the-sandbox-land,"Mar 19, 2022(UTC)","$216,452,394.03","$434,659.71",3.13386644 ETH
252,the-sandbox-land,"Mar 20, 2022(UTC)","$216,767,996.39","$444,282.48",3.06054233 ETH
253,the-sandbox-land,"Mar 21, 2022(UTC)","$217,174,759.91","$612,568.41",2.85948313 ETH
254,the-sandbox-land,"Mar 22, 2022(UTC)","$217,507,221.92","$404,968.39",3.0037627 ETH
